127.0.0.1 - - [21/Aug/2024:19:31:16 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:31:18 -0300] "GET /OlaMundo/formularios/formulario3.jsp HTTP/1.1" 200 2144
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:31:18 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:31:24 -0300] "POST /OlaMundo/formularios/resposta3.jsp HTTP/1.1" 500 2786
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:37:20 -0300] "POST /OlaMundo/formularios/resposta3.jsp HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:40:41 -0300] "POST /OlaMundo/formularios/resposta3.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:51:37 -0300] "GET /OlaMundo/login/index.jsp HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:51:54 -0300] "GET /OlaMundo/login/index.jsp HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:51:55 -0300] "GET /OlaMundo/login/index.jsp HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:51:59 -0300] "GET /OlaMundo/login/index.jsp HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:52:08 -0300] "GET /OlaMundo/login/index.jsp HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:52:25 -0300] "GET /OlaMundo/login/index.jsp HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:52:43 -0300] "GET /OlaMundo/login/index.jsp HTTP/1.1" 200 2004
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:59:17 -0300] "GET /OlaMundo/login/index.jsp HTTP/1.1" 200 2004
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:59:23 -0300] "POST /OlaMundo/login/controle.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:59:23 -0300] "GET /OlaMundo/login/admin.jsp HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:59:33 -0300] "POST /OlaMundo/login/controle.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:59:33 -0300] "GET /OlaMundo/login/normal.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:59:40 -0300] "POST /OlaMundo/login/controle.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:59:40 -0300] "GET /OlaMundo/login/invalido.jsp HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [21/Aug/2024:20:00:03 -0300] "GET /OlaMundo/login/index.jsp HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [21/Aug/2024:20:00:08 -0300] "POST /OlaMundo/login/controle.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:20:00:08 -0300] "GET /OlaMundo/login/admin.jsp HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [21/Aug/2024:20:00:16 -0300] "POST /OlaMundo/login/controle.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:20:00:16 -0300] "GET /OlaMundo/login/normal.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [21/Aug/2024:20:00:22 -0300] "POST /OlaMundo/login/controle.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:20:00:22 -0300] "GET /OlaMundo/login/invalido.jsp HTTP/1.1" 200 164
