127.0.0.1 - - [03/Sep/2024:19:32:45 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [03/Sep/2024:19:32:50 -0300] "GET /OlaMundo/cadastro/listar.jsp HTTP/1.1" 200 1176
0:0:0:0:0:0:0:1 - - [03/Sep/2024:19:32:50 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [03/Sep/2024:20:00:23 -0300] "GET /OlaMundo/cadastro/listar.jsp HTTP/1.1" 200 2310
0:0:0:0:0:0:0:1 - - [03/Sep/2024:20:00:52 -0300] "GET /OlaMundo/cadastro/listar.jsp HTTP/1.1" 200 2549
0:0:0:0:0:0:0:1 - - [03/Sep/2024:20:00:59 -0300] "GET /OlaMundo/cadastro/formulario.jsp?id=8 HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [03/Sep/2024:20:01:29 -0300] "POST /OlaMundo/cadastro/gravar.jsp HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [03/Sep/2024:20:01:31 -0300] "GET /OlaMundo/cadastro/index.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [03/Sep/2024:20:01:34 -0300] "GET /OlaMundo/cadastro/listar.jsp HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [03/Sep/2024:20:02:01 -0300] "GET /OlaMundo/cadastro/excluir.jsp?id=8 HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [03/Sep/2024:20:02:07 -0300] "GET /OlaMundo/cadastro/excluir.jsp?id=8 HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [03/Sep/2024:20:15:46 -0300] "GET /OlaMundo/cadastro/formulario.jsp?id=8 HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [03/Sep/2024:20:16:05 -0300] "GET /OlaMundo/cadastro/formulario.jsp?id=8 HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [03/Sep/2024:20:16:09 -0300] "GET /OlaMundo/cadastro/formulario.jsp?id=8 HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [03/Sep/2024:20:16:11 -0300] "GET /OlaMundo/cadastro/index.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [03/Sep/2024:20:16:14 -0300] "GET /OlaMundo/cadastro/listar.jsp HTTP/1.1" 200 3543
0:0:0:0:0:0:0:1 - - [03/Sep/2024:20:16:18 -0300] "GET /OlaMundo/cadastro/formulario.jsp?id=8 HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [03/Sep/2024:20:17:15 -0300] "GET /OlaMundo/cadastro/formulario.jsp?id=8 HTTP/1.1" 200 589
