127.0.0.1 - - [01/Oct/2024:18:13:11 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [01/Oct/2024:18:14:28 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [01/Oct/2024:18:14:28 -0300] "GET /OlaMundo/cadastro/excluir.jsp HTTP/1.1" 500 2498
0:0:0:0:0:0:0:1 - - [01/Oct/2024:18:16:35 -0300] "GET /OlaMundo/alunos/cadastro/excluir.jsp HTTP/1.1" 500 2522
0:0:0:0:0:0:0:1 - - [01/Oct/2024:18:16:49 -0300] "GET /OlaMundo/alunos/cadastrobean/index.jsp HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [01/Oct/2024:18:16:58 -0300] "GET /OlaMundo/alunos/cadastrobean/index.jsp HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [01/Oct/2024:18:17:37 -0300] "GET /OlaMundo/alunos/cadastrobean/index.jsp HTTP/1.1" 200 2511
0:0:0:0:0:0:0:1 - - [01/Oct/2024:18:17:46 -0300] "GET /OlaMundo/alunos/cadastrobean/excluir.jsp?id=12 HTTP/1.1" 200 1375
0:0:0:0:0:0:0:1 - - [01/Oct/2024:18:17:49 -0300] "GET /OlaMundo/alunos/cadastrobean/index.jsp HTTP/1.1" 200 2511
0:0:0:0:0:0:0:1 - - [01/Oct/2024:18:18:28 -0300] "GET /OlaMundo/alunos/cadastrobean/excluir.jsp?id=12 HTTP/1.1" 200 1375
0:0:0:0:0:0:0:1 - - [01/Oct/2024:18:18:30 -0300] "GET /OlaMundo/alunos/cadastrobean/index.jsp HTTP/1.1" 200 2511
0:0:0:0:0:0:0:1 - - [01/Oct/2024:18:26:12 -0300] "GET /OlaMundo/alunos/cadastrobean/excluir.jsp?id=12 HTTP/1.1" 200 1375
0:0:0:0:0:0:0:1 - - [01/Oct/2024:18:26:15 -0300] "GET /OlaMundo/alunos/cadastrobean/index.jsp HTTP/1.1" 200 2511
0:0:0:0:0:0:0:1 - - [01/Oct/2024:18:27:37 -0300] "GET /OlaMundo/alunos/cadastrobean/index.jsp HTTP/1.1" 200 2511
0:0:0:0:0:0:0:1 - - [01/Oct/2024:18:27:39 -0300] "GET /OlaMundo/alunos/cadastrobean/excluir.jsp?id=12 HTTP/1.1" 200 1375
0:0:0:0:0:0:0:1 - - [01/Oct/2024:18:27:41 -0300] "GET /OlaMundo/alunos/cadastrobean/index.jsp HTTP/1.1" 200 2511
0:0:0:0:0:0:0:1 - - [01/Oct/2024:18:27:57 -0300] "GET /OlaMundo/alunos/cadastrobean/excluir.jsp?id=12 HTTP/1.1" 200 1375
0:0:0:0:0:0:0:1 - - [01/Oct/2024:18:28:00 -0300] "GET /OlaMundo/alunos/cadastrobean/index.jsp HTTP/1.1" 200 2511
0:0:0:0:0:0:0:1 - - [01/Oct/2024:18:29:11 -0300] "GET /OlaMundo/alunos/cadastrobean/formulario.jsp?id=0 HTTP/1.1" 200 2482
0:0:0:0:0:0:0:1 - - [01/Oct/2024:18:29:34 -0300] "POST /OlaMundo/alunos/cadastrobean/gravar.jsp HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [01/Oct/2024:18:29:36 -0300] "GET /OlaMundo/alunos/cadastrobean/listar.jsp HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [01/Oct/2024:18:30:33 -0300] "POST /OlaMundo/alunos/cadastrobean/gravar.jsp HTTP/1.1" 200 1457
